Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/MzIy,2024-10-05,23:45:00,2024-11-04,2024-11-10
"Gandhi Shilp Bazar National, States, District",GSB(National)-Varanasi,https://indian.handicrafts.gov.in/en/events/view/MzI4,2024-10-05,23:45:00,2024-11-09,2024-11-18
"Gandhi Shilp Bazar National, States, District",GSB(State)-Chandigarh,https://indian.handicrafts.gov.in/en/events/view/MzMw,2024-10-05,23:45:00,2024-11-05,2024-11-14
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kakinada UH,https://indian.handicrafts.gov.in/en/events/view/MzMz,2024-10-05,23:45:00,2024-11-08,2024-11-14
"Gandhi Shilp Bazar National, States, District",GSB(District)-Agartala UH,https://indian.handicrafts.gov.in/en/events/view/MzA1,2024-09-30,23:45:00,2024-11-01,2024-11-07
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mamallapuram UH,https://indian.handicrafts.gov.in/en/events/view/MzA5,2024-09-30,23:45:00,2024-11-04,2024-11-10
"Gandhi Shilp Bazar National, States, District",GSB(State)-Thiruvanathapuram (Trivandrum),https://indian.handicrafts.gov.in/en/events/view/MzU4,2024-09-30,23:45:00,2024-10-28,2024-11-06
Dilli Haat,Dilli Haat (SAMARTH Training artisans),https://indian.handicrafts.gov.in/en/events/view/MjY0,2024-09-29,17:00:00,2024-11-01,2024-11-15
"Gandhi Shilp Bazar National, States, District",GSB(District)-Hazaribagh UH,https://indian.handicrafts.gov.in/en/events/view/MzE5,2024-09-20,23:45:00,2024-10-21,2024-10-27
"Gandhi Shilp Bazar National, States, District",GSB(State)-Ujjain,https://indian.handicrafts.gov.in/en/events/view/MzQ0,2024-09-20,23:45:00,2024-10-18,2024-10-27
"Gandhi Shilp Bazar National, States, District",GSB(District0-Raipur UH,https://indian.handicrafts.gov.in/en/events/view/MzQ1,2024-09-20,23:45:00,2024-10-20,2024-10-26
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mathura,https://indian.handicrafts.gov.in/en/events/view/MzU0,2024-09-20,23:45:00,2024-10-23,2024-10-29
"Gandhi Shilp Bazar National, States, District",GSB(State)-Nagpur,https://indian.handicrafts.gov.in/en/events/view/MzU5,2024-09-20,23:45:00,2024-10-18,2024-10-27
"Gandhi Shilp Bazar National, States, District","Gandhi Shilp Bazaar (A Handicrafts Expo)  at Silchar, Assam",https://indian.handicrafts.gov.in/en/events/view/Mzc0,2024-09-19,13:00:00,2024-09-27,2024-10-06
"Gandhi Shilp Bazar National, States, District",GSB(District)-Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/view/MzAw,2024-09-15,23:45:00,2024-10-22,2024-10-28
"Gandhi Shilp Bazar National, States, District",GSB(District)-Darbhanga,https://indian.handicrafts.gov.in/en/events/view/MzE3,2024-09-15,23:45:00,2024-10-18,2024-10-24
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kolkata UH,https://indian.handicrafts.gov.in/en/events/view/MzE4,2024-09-15,23:45:00,2024-10-18,2024-10-24
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jagdalpur,https://indian.handicrafts.gov.in/en/events/view/MzQy,2024-09-15,23:45:00,2024-10-15,2024-10-21
"Gandhi Shilp Bazar National, States, District",GSB(State)-Indore,https://indian.handicrafts.gov.in/en/events/view/MzQz,2024-09-15,23:45:00,2024-10-18,2024-10-27
"Gandhi Shilp Bazar National, States, District",GSB(National)-Ahmedabad,https://indian.handicrafts.gov.in/en/events/view/MzQ5,2024-09-15,23:45:00,2024-10-15,2024-10-24
"Gandhi Shilp Bazar National, States, District",GSB(District)-Dimapur UH,https://indian.handicrafts.gov.in/en/events/view/MzA0,2024-09-15,12:45:00,2024-10-21,2024-10-27
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mandi,https://indian.handicrafts.gov.in/en/events/view/Mjg0,2024-09-10,23:45:00,2024-10-01,2024-10-07
"Gandhi Shilp Bazar National, States, District",GSB(District)-Karnal UH,https://indian.handicrafts.gov.in/en/events/view/MzUz,2024-09-08,23:45:00,2024-10-01,2024-10-07
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jammu UH,https://indian.handicrafts.gov.in/en/events/view/MzAy,2024-09-05,23:45:00,2024-10-11,2024-10-17
"Gandhi Shilp Bazar National, States, District",GSB(District)-Guntur UH,https://indian.handicrafts.gov.in/en/events/view/MzA4,2024-09-05,23:45:00,2024-10-09,2024-10-15
"Gandhi Shilp Bazar National, States, District",GSB(State)-Ludhiana,https://indian.handicrafts.gov.in/en/events/view/MzIw,2024-09-05,23:45:00,2024-10-06,2024-10-15
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jaipur UH,https://indian.handicrafts.gov.in/en/events/view/MzIx,2024-09-05,23:45:00,2024-10-06,2024-10-12
"Gandhi Shilp Bazar National, States, District",GSB(State)-Jabalpur,https://indian.handicrafts.gov.in/en/events/view/MzQ3,2024-09-05,23:45:00,2024-10-04,2024-10-13
"Gandhi Shilp Bazar National, States, District",GSB(State)-Pune,https://indian.handicrafts.gov.in/en/events/view/MzQ4,2024-09-05,23:45:00,2024-10-04,2024-10-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Muzaffarpur,https://indian.handicrafts.gov.in/en/events/view/Mjcw,2024-08-31,23:45:00,2024-09-28,2024-10-04
"Gandhi Shilp Bazar National, States, District",GSB(District)-Agartala UH,https://indian.handicrafts.gov.in/en/events/view/MzAz,2024-08-31,23:45:00,2024-10-01,2024-10-07
"Gandhi Shilp Bazar National, States, District",GSB(State)-Kanpur,https://indian.handicrafts.gov.in/en/events/view/MzEw,2024-08-31,23:45:00,2024-10-01,2024-10-10
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kolkata UH,https://indian.handicrafts.gov.in/en/events/view/MzEy,2024-08-31,23:45:00,2024-10-01,2024-10-07
"Gandhi Shilp Bazar National, States, District",GSB(District)-Deoghar,https://indian.handicrafts.gov.in/en/events/view/MzE1,2024-08-31,23:45:00,2024-10-02,2024-10-08
"Gandhi Shilp Bazar National, States, District",GSB(State)-cuttack,https://indian.handicrafts.gov.in/en/events/view/MzE2,2024-08-31,23:45:00,2024-10-04,2024-10-13
"Gandhi Shilp Bazar National, States, District",GSB(District)-Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/MzQ2,2024-08-30,23:45:00,2024-09-27,2024-10-03
Dilli Haat,Dilli Haat (Master Creation-1),https://indian.handicrafts.gov.in/en/events/view/MjYz,2024-08-29,16:45:00,2024-10-16,2024-10-31
"Gandhi Shilp Bazar National, States, District",GSB(State)-Itanagar,https://indian.handicrafts.gov.in/en/events/view/Mjkx,2024-08-25,23:45:00,2024-09-22,2024-10-01
"Gandhi Shilp Bazar National, States, District",GSB(District)-Rajkot,https://indian.handicrafts.gov.in/en/events/view/MzE0,2024-08-25,23:45:00,2024-09-26,2024-10-02
"Gandhi Shilp Bazar National, States, District",GSB(District)-Tirupati UH,https://indian.handicrafts.gov.in/en/events/view/MzA3,2024-08-25,11:30:00,2024-09-27,2024-10-03
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mysuru UH,https://indian.handicrafts.gov.in/en/events/view/Mjc5,2024-08-20,23:45:00,2024-09-20,2024-09-26
