Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mamallapuram UH,https://indian.handicrafts.gov.in/en/events/view/Mzc5,2025-01-05,23:45:00,2025-02-08,2025-02-14
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at Indore,https://indian.handicrafts.gov.in/en/events/view/NDA3,2024-12-26,23:45:00,2025-01-10,2025-01-19
"Gandhi Shilp Bazar National, States, District",GSB(District)-Agra,https://indian.handicrafts.gov.in/en/events/view/Mzk4,2024-12-25,23:45:00,2025-01-28,2025-02-03
"Gandhi Shilp Bazar National, States, District",GSB(State)-Pudducherry,https://indian.handicrafts.gov.in/en/events/view/NDA1,2024-12-23,23:45:00,2025-01-10,2025-01-19
"Gandhi Shilp Bazar National, States, District",GSB(National)-Shilparamam (Madhapur),https://indian.handicrafts.gov.in/en/events/view/NDA2,2024-12-15,23:45:00,2025-01-08,2025-01-17
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kakinada UH,https://indian.handicrafts.gov.in/en/events/view/Mzc4,2024-12-10,23:45:00,2025-01-10,2025-01-16
"Gandhi Shilp Bazar National, States, District",GSB(State)-Chennai,https://indian.handicrafts.gov.in/en/events/view/Mzgy,2024-12-10,23:45:00,2025-01-11,2025-01-20
"Gandhi Shilp Bazar National, States, District",GSB(District)-Jhansi UH,https://indian.handicrafts.gov.in/en/events/view/Mzg4,2024-12-10,23:45:00,2025-01-11,2025-01-17
"Gandhi Shilp Bazar National, States, District",GSB(National)-Prayagraj (Kumbh Mela),https://indian.handicrafts.gov.in/en/events/view/Mzkz,2024-12-10,23:45:00,2025-01-10,2025-01-19
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kanyakumari UH,https://indian.handicrafts.gov.in/en/events/view/Mzc2,2024-12-05,23:45:00,2025-01-06,2025-01-12
"Gandhi Shilp Bazar National, States, District",GSB at Lucknow,https://indian.handicrafts.gov.in/en/events/view/NDAy,2024-12-04,23:45:00,2024-12-13,2024-12-22
"Gandhi Shilp Bazar National, States, District",GSB(State)-Nadia,https://indian.handicrafts.gov.in/en/events/view/Mzc1,2024-11-30,23:45:00,2025-01-03,2025-01-12
"Gandhi Shilp Bazar National, States, District",GSB(District)-Konark UH,https://indian.handicrafts.gov.in/en/events/view/Mjk2,2024-11-25,23:45:00,2024-12-27,2025-01-02
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mangaluru UH,https://indian.handicrafts.gov.in/en/events/view/MzM4,2024-11-25,23:45:00,2024-12-24,2024-12-30
"Gandhi Shilp Bazar National, States, District",GSB(District)-Puri UH,https://indian.handicrafts.gov.in/en/events/view/MzU2,2024-11-25,23:45:00,2024-12-25,2024-12-31
"Gandhi Shilp Bazar National, States, District",GSB(State)-Dehradun,https://indian.handicrafts.gov.in/en/events/view/MzY1,2024-11-25,23:45:00,2024-12-27,2025-01-05
"Gandhi Shilp Bazar National, States, District",GSB(District)-Imphal,https://indian.handicrafts.gov.in/en/events/view/Mzg3,2024-11-25,23:45:00,2024-12-23,2024-12-29
"Gandhi Shilp Bazar National, States, District",GSB(District)-Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/view/MzAx,2024-11-20,23:45:00,2024-12-24,2024-12-30
"Gandhi Shilp Bazar National, States, District",GSB(District)-Gaya,https://indian.handicrafts.gov.in/en/events/view/MzI3,2024-11-20,23:45:00,2024-12-20,2024-12-26
"Gandhi Shilp Bazar National, States, District",GSB(District)-Guntur UH,https://indian.handicrafts.gov.in/en/events/view/MzM2,2024-11-20,23:45:00,2024-12-20,2024-12-26
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kanyakumari UH,https://indian.handicrafts.gov.in/en/events/view/MzM3,2024-11-20,23:45:00,2024-12-21,2024-12-27
