Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB (District) at Aizwal,01/07/2025 to 07/07/2025,2025-05-30 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDI1,2025-05-30,23:45:00,2025-07-01,2025-07-07,Aizwal,23.7307175,92.71731059999999
Dilli Haat,Dilli Haat - GI Crafts - Non Textiles based Crafts,01/06/2025 to 15/06/2025,2025-05-11 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDU5,2025-05-11,23:45:00,2025-06-01,2025-06-15,Delhi,28.7040592,77.10249019999999
Dilli Haat,DILLI HAAT - SC Artisans - Non Textiles Based Crafts,16/05/2025 to 31/05/2025,2025-05-04 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDU3,2025-05-04,23:45:00,2025-05-16,2025-05-31,Delhi,28.7040592,77.10249019999999
"Gandhi Shilp Bazar National, States, District",GSB (National) at Guwahati,01/06/2025 to 10/06/2025,2025-05-04 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDIx,2025-05-04,23:45:00,2025-06-01,2025-06-10,Guwahati,26.1157917,91.7085933
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hazaribagh UH,14/05/2025 to 20/05/2025,2025-04-30 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDMy,2025-04-30,23:45:00,2025-05-14,2025-05-20,Hazaribagh UH,23.9924669,85.3636758
"Gandhi Shilp Bazar National, States, District",GSB (State) at Indore,06/05/2025 to 15/05/2025,2025-04-27 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDMw,2025-04-27,23:45:00,2025-05-06,2025-05-15,Indore,22.7195687,75.8577258
Dilli Haat,Dilli Haat - Non textile-based Crafts from PAN India except Northern Region,01/05/2025 to 15/05/2025,2025-04-14 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDIw,2025-04-14,23:45:00,2025-05-01,2025-05-15,Delhi,28.7040592,77.10249019999999
Dilli Haat,Dilli Haat - Non textile-based Crafts from Northern Region,16/04/2025 to 30/04/2025,2025-04-08 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE5,2025-04-08,23:45:00,2025-04-16,2025-04-30,Delhi,28.7040592,77.10249019999999
"Gandhi Shilp Bazar National, States, District",GSB(National)-Agartala,15/03/2025 to 24/03/2025,2025-03-05 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE4,2025-03-05,23:45:00,2025-03-15,2025-03-24,Agartala,23.831457,91.2867777
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at JSS Mysore UH,14/03/2025 to 23/03/2025,2025-02-27 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE0,2025-02-27,23:45:00,2025-03-14,2025-03-23,JSS Mysore UH,12.2958104,76.6393805
"Gandhi Shilp Bazar National, States, District",GSB(National)-Lucknow,01/03/2025 to 10/03/2025,2025-02-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE1,2025-02-20,23:45:00,2025-03-01,2025-03-10,Lucknow,26.8466937,80.94616599999999
"Gandhi Shilp Bazar National, States, District",GSB(National) at Patna,27/02/2025 to 08/03/2025,2025-02-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE2,2025-02-20,23:45:00,2025-02-27,2025-03-08,Patna,25.5940947,85.1375645
"Gandhi Shilp Bazar National, States, District",GSB(District)-Srinagar UH,07/03/2025 to 13/03/2025,2025-02-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDE3,2025-02-20,23:45:00,2025-03-07,2025-03-13,Srinagar UH,34.0836708,74.7972825
"Gandhi Shilp Bazar National, States, District",GSB(District)-Haridwar,17/03/2025 to 23/03/2025,2025-02-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzk0,2025-02-15,23:45:00,2025-03-17,2025-03-23,Haridwar,29.9456906,78.16424780000001
"Gandhi Shilp Bazar National, States, District",Gandhi shilp Bazaar at DHS Varanasi,27/02/2025 to 08/03/2025,2025-02-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDEz,2025-02-15,23:45:00,2025-02-27,2025-03-08,DHS Varanasi,25.3176452,82.9739144
"Gandhi Shilp Bazar National, States, District",GSB (District)-Varanasi UH,03/03/2025 to 09/03/2025,2025-02-05 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDEx,2025-02-05,23:45:00,2025-03-03,2025-03-09,Varanasi UH,25.3176452,82.9739144
"Gandhi Shilp Bazar National, States, District",GSB(State)- Mysuru UH,14/02/2025 to 23/02/2025,2025-02-02 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDEy,2025-02-02,23:45:00,2025-02-14,2025-02-23,Mysuru UH,12.2958104,76.6393805
"Gandhi Shilp Bazar National, States, District",GSB(District)-Varanasi UH,23/02/2025 to 01/03/2025,2025-01-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzI5,2025-01-20,23:45:00,2025-02-23,2025-03-01,Varanasi UH,25.3176452,82.9739144
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhuj UH,21/02/2025 to 27/02/2025,2025-01-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzgx,2025-01-20,23:45:00,2025-02-21,2025-02-27,Bhuj UH,23.2419997,69.6669324
"Gandhi Shilp Bazar National, States, District",GSB(National)-Chennai,14/02/2025 to 23/02/2025,2025-01-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzc3,2025-01-15,23:45:00,2025-02-14,2025-02-23,Chennai,13.0843007,80.2704622
"Gandhi Shilp Bazar National, States, District",GSB(State)-Vadodara,14/02/2025 to 23/02/2025,2025-01-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzgw,2025-01-15,23:45:00,2025-02-14,2025-02-23,Vadodara,22.3000395,73.2064994
"Gandhi Shilp Bazar National, States, District",GSB(State)-Kurukshetra,31/01/2025 to 09/02/2025,2025-01-15 22:45:00,https://indian.handicrafts.gov.in/en/events/view/NDEw,2025-01-15,22:45:00,2025-01-31,2025-02-09,Kurukshetra,29.9695121,76.878282
"Gandhi Shilp Bazar National, States, District",GSB(State)-Shillong,11/02/2025 to 20/02/2025,2025-01-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA0,2025-01-10,23:45:00,2025-02-11,2025-02-20,Shillong,25.5787726,91.8932535
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar at Ujjain,31/01/2025 to 09/02/2025,2025-01-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA4,2025-01-10,23:45:00,2025-01-31,2025-02-09,Ujjain,23.1764665,75.7885163
"Gandhi Shilp Bazar National, States, District",Surajkund Craft Mela 2025,07/02/2025 to 23/02/2025,2025-01-07 23:45:00,https://indian.handicrafts.gov.in/en/events/view/NDA5,2025-01-07,23:45:00,2025-02-07,2025-02-23,,18.7874192,100.7762883
